Date;Close;Volume;Market Cap
2021-11-03;2,03;2039111745;13844038950
2021-11-04;1,92;1274036123;13044145345
2021-11-05;1,90;816606444;12938153938
2021-11-06;1,88;732369721;12859280456
2021-11-07;1,88;647295001;12853999197
2021-11-08;1,89;1041094531;12978615206
2021-11-09;1,78;1280583757;12191703489
2021-11-10;1,71;1617335024;11722788455
2021-11-11;1,76;975172367;12093133397
2021-11-12;1,72;879043211;11843288426
2021-11-13;1,75;650997876;12113726084
2021-11-14;1,73;622632118;12008894893
2021-11-15;1,69;671140082;11745453803
2021-11-16;1,56;1289977777;10851610256
2021-11-17;1,63;1120693388;11349794393
2021-11-18;1,50;1037256554;10402175519
2021-11-19;1,62;816043046;11233350337
2021-11-20;1,66;755911362;11584058859
2021-11-21;1,60;587625385;11150616191
2021-11-22;1,56;729095002;10844494703
2021-11-23;1,75;1142625090;12214066773
2021-11-24;1,68;1186647404;11705973418
2021-11-25;1,79;1498060646;12450073104
2021-11-26;1,63;1791674309;11458412814
2021-11-27;1,61;924455422;11333279218
2021-11-28;1,65;934302637;11598699396
2021-11-29;1,82;1112618280;12764194320
2021-11-30;1,79;1429741637;12536171349
2021-12-01;2,01;2527343019;14101630437
2021-12-02;2,13;3679081051;14937144388
2021-12-03;2,27;4686886096;15925390809
2021-12-04;1,98;4687656407;13905084338
2021-12-05;2,05;3609200610;14363566604
2021-12-06;2,28;4448366364;16007409781
2021-12-07;2,37;5009697353;16616644396
2021-12-08;2,42;4615516373;17128677390
2021-12-09;2,09;3597671922;14802686743
2021-12-10;2,10;3509992131;14855059525
2021-12-11;2,13;2085837502;15101800396
2021-12-12;2,09;1348386846;14779394455
2021-12-13;1,82;2267821499;12890621674
2021-12-14;1,80;2323550894;12766635377
2021-12-15;2,12;3408032714;15027755811
2021-12-16;2,07;2342715249;14678125906
2021-12-17;2,13;2211957372;15070305384
2021-12-18;2,23;2120162669;15802591669
2021-12-19;2,22;1597030216;15737173173
2021-12-20;2,13;1829848362;15079225136
2021-12-21;2,38;2302408030;16838512397
2021-12-22;2,50;3483188693;17725206080
2021-12-23;2,68;3779826295;19009892485
2021-12-24;2,47;2071968314;17506436512
2021-12-25;2,64;1544073308;18709510972
2021-12-26;2,88;3214825308;20411914262
2021-12-27;2,73;1993085412;19514813142
2021-12-28;2,50;2817594927;17884389357
2021-12-29;2,47;2551425027;17682505615
2021-12-30;2,56;1935378928;18320897701
2021-12-31;2,53;1700013705;18101393667
2022-01-01;2,57;985893783;18442951472
2022-01-02;2,55;944553719;18259576689
2022-01-03;2,43;1210619278;17424826384
2022-01-04;2,37;1397576848;16956345870
2022-01-05;2,20;1859987978;15725950759
2022-01-06;2,25;2021304260;16122092575
2022-01-07;2,05;1901375449;14711331549
2022-01-08;2,00;1354628316;14296129049
2022-01-09;2,12;1097561124;15153231168
2022-01-10;2,07;1580821791;14840096952
2022-01-11;2,36;2173934503;16882544828
2022-01-12;2,39;1879726038;17137874576
2022-01-13;2,26;1536186797;16551391861
2022-01-14;2,34;1284256560;17095548261
2022-01-15;2,35;878571421;17212302128
2022-01-16;2,33;750509306;17037734958
2022-01-17;2,22;1652189536;16249026707
2022-01-18;2,13;1475708073;15565048859
2022-01-19;2,04;1318686617;15072129001
2022-01-20;1,96;824202447;14590845223
2022-01-21;1,70;2195018010;12645400138
2022-01-22;1,53;2427596173;11392263745
2022-01-23;1,62;1387537184;12037638848
2022-01-24;1,51;2369012535;11228244016
2022-01-25;1,56;1547658922;11607819864
2022-01-26;1,59;2349315414;11850008196
2022-01-27;1,59;1535313776;11875658059
2022-01-28;1,68;1490168757;12528755958
2022-01-29;1,69;888150000;12646249138
2022-01-30;1,61;823938936;11977483556
2022-01-31;1,64;913619284;12265406996
2022-02-01;1,65;945559197;12292807867
2022-02-02;1,54;828911083;11504114370
2022-02-03;1,55;806820755;11566495759
2022-02-04;1,69;960235728;12615403261
2022-02-05;1,71;917069286;12790961536
2022-02-06;1,74;692969600;12981893615
2022-02-07;2,02;2150764551;15064963649
